time,open,high,low,close,tick_volume,spread,real_volume,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,ema_short,ema_long,lsma,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_buy2,is_sell2,tp,sl,be,be_condition
2024-05-29 16:30:00,67848.273,67961.234,67634.305,67847.336,3401,36421,0,2024-05-29 16:00:00,2024-05-29 16:00:00,1.8614761904464103,,67852.96949999995,-0.0003238017516362696,-0.0007911016755441923,67839.56967857141,67418.62289009223,68088.21716844746,67931.62662607005,68023.026968383,67923.47386962512,-64.22903335714363,-71.46914820812125,111.96434711297509,-17.63800206387532,-18.441558995618834,54.739223598269746,68074.62573822764,67770.82200102259,53.24725200595827,62.67063588257952,False,False,,,,
2024-05-29 16:45:00,67847.336,67951.734,67599.875,67901.836,3216,36421,0,2024-05-29 16:00:00,2024-05-29 16:00:00,1.8614761904464103,,67852.96949999995,-0.0003238017516362696,-0.0007911016755441923,67839.56967857141,67418.62289009223,68088.21716844746,67927.0434528285,68014.0498596139,67908.41911661507,-62.158258040464716,-69.60697017458995,93.09236538021898,-15.054753010044806,-17.63800206387532,-18.441558995618834,68034.09380987837,67781.24442335177,37.390374000747734,52.013511354217165,False,False,,,,
2024-05-29 17:00:00,67903.336,67989.336,67825.391,67915.836,2591,36421,0,2024-05-29 17:00:00,2024-05-29 17:00:00,13.399821428538417,,67814.34455952374,-0.00021103271595188447,-0.0006193641929056327,67852.96949999995,67473.77950851661,68093.93012824164,67925.31922931642,68006.77475890175,67901.67883625733,-59.614947721987846,-67.60856568406953,92.30715683577371,-6.740280357742449,-15.054753010044806,-17.63800206387532,68026.29349798562,67775.56417452903,40.55733169122743,43.73165256597781,False,False,,,,
2024-05-29 17:15:00,67916.836,67985.039,67652.219,67684.109,2328,36421,0,2024-05-29 17:00:00,2024-05-29 17:00:00,13.399821428538417,,67814.34455952374,-0.00021103271595188447,-0.0006193641929056327,67852.96949999995,67473.77950851661,68093.93012824164,67888.20996326774,67982.8735915757,67855.2334396285,-63.70952727703843,-66.82875800266332,100.4724958796062,-46.44539662882744,-6.740280357742449,-15.054753010044806,67990.87130906597,67718.09557019103,32.90790431924288,36.95187000373935,False,False,,,,
2024-05-29 17:30:00,67686.836,67865.039,67531.836,67734.938,2891,36421,0,2024-05-29 17:00:00,2024-05-29 17:00:00,13.399821428538417,,67814.34455952374,-0.00021103271595188447,-0.0006193641929056327,67852.96949999995,67473.77950851661,68093.93012824164,67864.62966122656,67964.50799219972,67830.51670519437,-65.31041015667142,-66.52508843346494,105.97278487336841,-24.71673443412874,-46.44539662882744,-6.740280357742449,67973.57996477342,67685.95344561532,27.443446560164443,33.63622752354492,False,False,,,,
2024-05-29 17:45:00,67733.055,67796.141,67644.938,67652.234,1706,36421,0,2024-05-29 17:00:00,2024-05-29 17:00:00,13.399821428538417,,67814.34455952374,-0.00021103271595188447,-0.0006193641929056327,67852.96949999995,67473.77950851661,68093.93012824164,67831.95340565324,67941.3765853701,67796.31989989681,-68.61056896833179,-66.94218454043832,117.15966506787619,-34.19680529755715,-24.71673443412874,-46.44539662882744,67954.48544773845,67636.65435205518,17.78538548092074,26.04557878677602,False,False,,,,
2024-05-29 18:00:00,67650.125,67693.336,67506.156,67586.938,1707,36421,0,2024-05-29 18:00:00,2024-05-29 18:00:00,-38.624940476205666,,67665.25895238093,-0.0006658421644156255,0.0006857491304308933,67814.34455952374,67119.36867369323,68598.69727893588,67794.25872786043,67915.1218753427,67746.18916477471,-72.82734708249336,-68.11921704884932,132.16831220448907,-50.13073512210394,-34.19680529755715,-24.71673443412874,67924.61638625077,67566.26194329865,17.18218823205208,20.803673424379088,False,False,,,,
2024-05-29 18:15:00,67583.992,67891.734,67377.672,67690.039,2466,36421,0,2024-05-29 18:00:00,2024-05-29 18:00:00,-38.624940476205666,,67665.25895238093,-0.0006658421644156255,0.0006857491304308933,67814.34455952374,67119.36867369323,68598.69727893588,67778.2249235742,67898.44906976176,67728.86900825593,-72.98004322283668,-69.0913822836468,137.46392779313487,-17.320156518777367,-50.13073512210394,-34.19680529755715,67914.44531077666,67541.7927057352,19.649217885902377,18.205597199625064,False,False,,,,
2024-05-29 18:30:00,67689.336,67713.336,67397.039,67473.234,2469,36421,0,2024-05-29 18:00:00,2024-05-29 18:00:00,-38.624940476205666,,67665.25895238093,-0.0006658421644156255,0.0006857491304308933,67814.34455952374,67119.36867369323,68598.69727893588,67731.30324302433,67866.95165718682,67662.26306295146,-78.84004984785861,-71.04111579648915,158.6316584238958,-66.6059453044727,-17.320156518777367,-50.13073512210394,67876.41580182372,67446.6103240792,17.91184815479264,18.24775142424903,False,False,,,,
2024-05-29 18:45:00,67462.227,67600.438,67302.961,67402.836,2341,36421,0,2024-05-29 18:00:00,2024-05-29 18:00:00,-38.624940476205666,,67665.25895238093,-0.0006658421644156255,0.0006857491304308933,67814.34455952374,67119.36867369323,68598.69727893588,67680.76982102059,67832.57271961743,67594.64634124523,-85.29929957026616,-73.89275255124456,182.8042136300879,-67.61672170623206,-66.6059453044727,-17.320156518777367,67841.43202964585,67346.36065284461,17.868930510731325,18.476665517142113,False,False,,,,
