time,open,high,low,close,tick_volume,spread,real_volume,support_trendline_15,resistance_trendline_15,support_gradient_15,resistance_gradient_15,supertrend_dir,Span_A,Span_B,fixed_resistance_gradient_15,fixed_support_gradient_15,fixed_support_trendline_15,fixed_resistance_trendline_15,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,prev_fixed_support_trendline,prev_fixed_resistance_trendline,prev_fixed_resistance_gradient,prev_fixed_support_gradient,ema_50,ema_24,prev_stochk,prev_stochd,prev_hour_macd_signal,prev_psar,prev_psar_direction,prev_nadaraya_watson,prev_nadaraya_watson_trend,nadaraya_upper_envelope,nadaraya_lower_envelope,wma_50,prev_supertrend_dir,HSpan_A,HSpan_B,nadaraya_watson,prev_nadaraya_lower_band,prev_nadaraya_upper_band,prev_HSpan_A,prev_HSpan_B,support_trendline,resistance_trendline,lsma,ema_short,ema_long,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_doji,is_doji_star,3whitesoldiers,3blackcrows,engulfing,inverted_hammer,two_crows,three_inside,three_line_strike,three_outside,three_stars_in_south,abandoned_baby,advance_block,belt_hold,breakaway,closing_marubozu,conceal_baby_swallow,counterattack,dark_cloud_cover,doji,doji_star,dragonfly_doji,evening_doji_star,evening_star,gap_side_side_white,gravestone_doji,hammer,hanging_man,harami,harami_cross,high_wave,hikkake,hikkake_mod,homing_pigeon,identical_three_crows,in_neck,kicking,kicking_by_length,ladder_bottom,long_legged_doji,long_line,matching_low,mat_hold,morning_doji_star,morning_star,on_neck,piercing,rickshaw_man,rise_fall_3_methods,separating_lines,shooting_star,short_line,spinning_top,stalled_pattern,stick_sandwich,takuri,tasuki_gap,thrusting,tristar,unique_3_river,upside_gap_two_crows,xside_gap_3_methods,ticket,is_buy2,is_sell2,signal,tp,sl,be,be_condition
2024-10-21 15:15:00,43426.99,43449.49,43424.49,43446.49,547,600,0,43424.91987269147,43656.73000391507,-0.0005910962935774197,-0.0005010769481172208,,,,-0.00016635970530810932,-0.0002184230336035555,43430.99948783805,43509.675804649,2024-10-21 15:00:00,2024-10-21 15:00:00,-25.357575757574523,-17.682351750518137,43451.208181818205,,,43457.129393939416,,,,,,,43484.833290110066,43477.75958638135,9.336545395534513,31.25768626114892,0.7699883535926011,,-1.0,43509.74681695835,bearish,43553.01285235869,43458.50022655655,,-1.0,,,43505.73087435091,43462.7652312794,43556.7791879332,,,43129.369197944194,43551.50072375333,43446.412619047616,43447.527597887034,43477.51172240632,-26.781093343466637,-23.665907334848036,11.261502056371851,0.0,-4.630952380946837,0.0,43457.67412110399,43435.15111699124,18.641779444404413,13.642895979403207,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 15:30:00,43444.99,43471.49,43442.99,43462.99,472,600,0,43394.435929266634,43633.60572956955,-0.0005809924616917601,-0.0004938900850971297,,,,-0.000121010568802214,-0.0002230105552310065,43421.773599608845,43515.28124484706,2024-10-21 15:00:00,2024-10-21 15:00:00,-25.357575757574523,-17.682351750518137,43451.208181818205,,,43457.129393939416,,,,,,,43484.833290110066,43477.75958638135,9.336545395534513,31.25768626114892,0.7699883535926011,,-1.0,43509.74681695835,bearish,43553.01285235869,43458.50022655655,,-1.0,,,43505.73087435091,43462.7652312794,43556.7791879332,,,43129.369197944194,43551.50072375333,43446.412619047616,43449.90642898134,43476.436039265114,-23.496766951815516,-23.632079258241532,17.508161362074258,0.0,0.0,-4.630952380946837,43463.92078040969,43428.904457685545,30.51670485316441,20.392208295712706,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 15:45:00,43463.49,43472.99,43459.49,43466.99,398,600,0,43322.386693938955,43610.47794922038,-0.0004729203705650363,-0.00048179156129296585,,,,-0.00010927068020747131,-0.0001597368207176191,43411.64417741238,43512.531815046714,2024-10-21 15:00:00,2024-10-21 15:00:00,-25.357575757574523,-17.682351750518137,43451.208181818205,,,43457.129393939416,,,,,,,43484.833290110066,43477.75958638135,9.336545395534513,31.25768626114892,0.7699883535926011,,-1.0,43509.74681695835,bearish,43553.01285235869,43458.50022655655,,-1.0,,,43505.73087435091,43462.7652312794,43556.7791879332,,,43129.369197944194,43551.50072375333,43446.412619047616,43452.53467067652,43475.73633265289,-20.355469582907972,-22.97675732317482,22.004599086270332,0.0,0.0,0.0,43468.41721813389,43424.408019961345,44.72447129307371,31.294318530214213,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 16:00:00,43468.99,43479.49,43464.49,43476.49,424,600,0,43248.03960513753,43586.94196441257,-0.0003346215430731998,-0.00045277126641037643,,,,-9.405017039589575e-05,-0.0001597360311682236,43404.708767075164,43513.526003224266,2024-10-21 16:00:00,2024-10-21 16:00:00,-5.921212121211283,-17.157032529241405,43432.02939393941,,,43451.208181818205,,,,,,,43471.5890555446,43463.14412274105,15.868110121646032,18.281776383875297,-2.8154158229742006,,-1.0,43505.73087435091,bearish,43546.200483315784,43448.914317134615,,-1.0,,,43497.53020156838,43458.50022655655,43553.01285235869,,,43122.37676099382,43547.490000000034,43426.13880952381,43456.22010595706,43475.792159863784,-16.95802308239945,-21.773010475019746,24.773738014958766,-20.273809523809177,0.0,0.0,43450.91254753876,43401.36507150885,59.4016370240322,44.88093772342347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 16:15:00,43475.99,43493.99,43468.99,43490.99,700,600,0,43194.63062860504,43566.87252576145,-0.00022198563833739847,-0.00044499036712929564,,,,-7.029199912181421e-05,-0.00012269194292644566,43398.86741299091,43519.433059509865,2024-10-21 16:00:00,2024-10-21 16:00:00,-5.921212121211283,-17.157032529241405,43432.02939393941,,,43451.208181818205,,,,,,,43471.5890555446,43463.14412274105,15.868110121646032,18.281776383875297,-2.8154158229742006,,-1.0,43505.73087435091,bearish,43546.200483315784,43448.914317134615,,-1.0,,,43497.53020156838,43458.50022655655,43553.01285235869,,,43122.37676099382,43547.490000000034,43426.13880952381,43461.5693204252,43476.9179257998,-13.033758291756385,-20.025160038367073,27.119225301415803,0.0,-20.273809523809177,0.0,43453.25803482522,43399.01958422239,76.47916691433171,60.201758410479236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 16:30:00,43491.49,43547.49,43417.99,43431.99,4931,600,0,43185.0398586975,43547.490000000034,-0.00022197489903572358,-0.0004294660134158129,,,,-1.8940756635088842e-06,-7.067593703308242e-05,43397.34010212763,43548.176344132786,2024-10-21 16:00:00,2024-10-21 16:00:00,-5.921212121211283,-17.157032529241405,43432.02939393941,,,43451.208181818205,,,,,,,43471.5890555446,43463.14412274105,15.868110121646032,18.281776383875297,-2.8154158229742006,,-1.0,43505.73087435091,bearish,43546.200483315784,43448.914317134615,,-1.0,,,43497.53020156838,43458.50022655655,43553.01285235869,,,43122.37676099382,43547.490000000034,43426.13880952381,43457.0186557444,43473.589931296105,-14.175376675761072,-18.855203365845874,24.025779804927193,0.0,0.0,-20.273809523809177,43450.164589328735,43402.11302971888,64.06434753830544,66.64838382555648,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 16:45:00,43433.49,43479.49,43405.49,43411.99,3653,600,0,43175.454526184,43479.490000000005,-0.00022197334916827417,-0.0003665152811647316,,,,5.0187958884028485e-06,-2.6697326098337453e-05,43399.386461999326,43545.889869931925,2024-10-21 16:00:00,2024-10-21 16:00:00,-5.921212121211283,-17.157032529241405,43432.02939393941,,,43451.208181818205,,,,,,,43471.5890555446,43463.14412274105,15.868110121646032,18.281776383875297,-2.8154158229742006,,-1.0,43505.73087435091,bearish,43546.200483315784,43448.914317134615,,-1.0,,,43497.53020156838,43458.50022655655,43553.01285235869,,,43122.37676099382,43547.490000000034,43426.13880952381,43450.091170245265,43469.02697342232,-16.36653958176612,-18.357470609029924,27.126906340672335,0.0,0.0,0.0,43453.26571586448,43399.011903183135,41.20595439984928,60.583156284162165,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 17:00:00,43415.49,43438.99,43391.99,43436.99,3099,600,0,43165.866791695546,43457.56314638287,-0.00022195019272111,-0.00035841718365003185,,,,1.6792574747798624e-05,-1.9333879872001277e-05,43399.40286321452,43542.867908063614,2024-10-21 17:00:00,2024-10-21 17:00:00,-19.178787878794537,-22.48132954837638,43382.00515151517,,,43432.02939393941,,,,,,,43438.7528636274,43424.887651020814,17.101449275362345,14.102034930847624,-6.748598568054636,,-1.0,43497.53020156838,bearish,43535.185234114535,43424.98983947212,,-1.0,,,43480.05262704911,43448.914317134615,43546.200483315784,,,43115.38545770656,43543.47964560037,43372.359047619044,43448.075605592145,43466.65386427993,-16.024687449120393,-17.89091397704802,27.87536034353929,-53.77976190476329,0.0,0.0,43400.234407962584,43344.483687275504,18.611819492183198,41.29404047677933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 17:15:00,43436.49,43441.99,43352.99,43362.99,2961,600,0,43102.66440838881,43441.99000000001,2.470966798511116e-05,-0.0003012117603603389,,,,4.8004302504516394e-05,-8.854897552946524e-05,43384.95124305649,43536.36462205563,2024-10-21 17:00:00,2024-10-21 17:00:00,-19.178787878794537,-22.48132954837638,43382.00515151517,,,43432.02939393941,,,,,,,43438.7528636274,43424.887651020814,17.101449275362345,14.102034930847624,-6.748598568054636,,-1.0,43497.53020156838,bearish,43535.185234114535,43424.98983947212,,-1.0,,,43480.05262704911,43448.914317134615,43546.200483315784,,,43115.38545770656,43543.47964560037,43372.359047619044,43434.98551242412,43458.97505951845,-21.025957174177165,-18.517922616473847,43.68052306501598,0.0,-53.77976190476329,0.0,43416.03957068406,43328.67852455403,13.544006355049966,24.453926749027506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 17:30:00,43361.99,43383.99,43327.99,43361.99,2967,600,0,43103.728631133534,43383.98999999997,2.4714557009569634e-05,-0.0002321374787869027,,,,7.187670827653626e-05,-0.00012341290369762033,43372.51607351831,43533.96195413192,2024-10-21 17:00:00,2024-10-21 17:00:00,-19.178787878794537,-22.48132954837638,43382.00515151517,,,43432.02939393941,,,,,,,43438.7528636274,43424.887651020814,17.101449275362345,14.102034930847624,-6.748598568054636,,-1.0,43497.53020156838,bearish,43535.185234114535,43424.98983947212,,-1.0,,,43480.05262704911,43448.914317134615,43546.200483315784,,,43115.38545770656,43543.47964560037,43372.359047619044,43423.75543358964,43451.79098103561,-24.734318441078358,-19.76120178139475,50.303957053419424,0.0,0.0,-53.77976190476329,43422.66300467246,43322.05509056563,16.523348119247597,16.22639132216028,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 17:45:00,43361.49,43363.49,43284.99,43290.99,2968,600,0,43105.379723024125,43363.48999999996,2.018462631424598e-05,-0.0002187797221496438,,,,0.00010329355762213965,-0.00017939701599153267,43349.678128688814,43532.53928245871,2024-10-21 17:00:00,2024-10-21 17:00:00,-19.178787878794537,-22.48132954837638,43382.00515151517,,,43432.02939393941,,,,,,,43438.7528636274,43424.887651020814,17.101449275362345,14.102034930847624,-6.748598568054636,,-1.0,43497.53020156838,bearish,43535.185234114535,43424.98983947212,,-1.0,,,43480.05262704911,43448.914317134615,43546.200483315784,,,43115.38545770656,43543.47964560037,43372.359047619044,43403.32998226816,43439.87979725519,-32.559789600352815,-22.32091934518636,65.18106648838712,0.0,0.0,0.0,43437.54011410743,43307.177981130655,7.638950630348499,12.568768368215379,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 18:00:00,43293.99,43297.99,43165.49,43185.49,3758,600,0,43106.24949696566,43297.99000000002,2.0188115614535056e-05,-0.00014048471344770978,,,,0.00011831800664584826,-0.000331452757861669,43284.78789257493,43535.50323253417,2024-10-21 18:00:00,2024-10-21 18:00:00,-50.024242424238764,-39.05167490609165,43320.12030303033,,,43382.00515151517,,,,,,,43398.79597933151,43379.13261746063,14.989172080626382,15.986243825878248,-13.20921383566204,,-1.0,43480.05262704911,bearish,43520.95507489935,43393.70960445702,,-1.0,,,43457.28576693214,43424.98983947212,43535.185234114535,,,43108.395287898675,43539.46966052025,43311.56738095238,43369.81613884229,43421.03610856962,-46.0416512769516,-27.06506573153941,90.2222784227819,-60.79166666666424,0.0,0.0,43401.789659375165,43221.345102529594,7.670355270159713,10.610884673251961,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 18:15:00,43183.99,43191.49,43117.99,43131.49,2828,600,0,43107.119567054964,43276.73810385228,2.0192120603910816e-05,-0.00010979465633981758,,,,5.111304124143372e-05,-0.0003742083449960706,43252.57266876353,43544.534197841225,2024-10-21 18:00:00,2024-10-21 18:00:00,-50.024242424238764,-39.05167490609165,43320.12030303033,,,43382.00515151517,,,,,,,43398.79597933151,43379.13261746063,14.989172080626382,15.986243825878248,-13.20921383566204,,-1.0,43480.05262704911,bearish,43520.95507489935,43393.70960445702,,-1.0,,,43457.28576693214,43424.98983947212,43535.185234114535,,,43108.395287898675,43539.46966052025,43311.56738095238,43333.150579020396,43399.58824867557,-59.95778788947064,-33.64361016312566,115.2887162528177,0.0,-60.79166666666424,0.0,43426.8560972052,43196.27866469956,3.554835378494969,6.288047093001084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 18:30:00,43127.99,43183.99,43107.99,43178.99,2712,600,0,43107.990000000034,43267.28688579081,2.018060612669855e-05,-9.169141405511699e-05,,,,-6.570341704555574e-05,-0.0003742356096036469,43236.38105190744,43548.4253158542,2024-10-21 18:00:00,2024-10-21 18:00:00,-50.024242424238764,-39.05167490609165,43320.12030303033,,,43382.00515151517,,,,,,,43398.79597933151,43379.13261746063,14.989172080626382,15.986243825878248,-13.20921383566204,,-1.0,43480.05262704911,bearish,43520.95507489935,43393.70960445702,,-1.0,,,43457.28576693214,43424.98983947212,43535.185234114535,,,43108.395287898675,43539.46966052025,43311.56738095238,43309.43356686341,43383.247637662564,-66.54533069381432,-40.22395426926339,115.14426768595165,0.0,0.0,-60.79166666666424,43426.71164863833,43196.42311326643,8.17783770798194,6.467676118878898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-21 18:45:00,43176.99,43238.99,43166.99,43218.99,2730,600,0,43167.42146674437,43260.65343606169,-8.010825196737177e-05,-7.936468985271058e-05,,,,-0.0002064642539140058,-0.00038740143420817246,43223.78831897339,43541.43017061197,2024-10-21 18:00:00,2024-10-21 18:00:00,-50.024242424238764,-39.05167490609165,43320.12030303033,,,43382.00515151517,,,,,,,43398.79597933151,43379.13261746063,14.989172080626382,15.986243825878248,-13.20921383566204,,-1.0,43480.05262704911,bearish,43520.95507489935,43393.70960445702,,-1.0,,,43457.28576693214,43424.98983947212,43535.185234114535,,,43108.395287898675,43539.46966052025,43311.56738095238,43295.51917196134,43371.08040524311,-67.90061379141844,-45.7592861736944,92.32815440166196,0.0,0.0,0.0,43403.895535354044,43219.239226550715,14.851294575316906,8.861322553931295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
